Data	Happiness	Sadness	Anger	Fear	Disgust	Surprise
Bahubali 2 ke liye line lag sakte hai desh ke liye kyun lage line me... #notebandi #Bahubali2					Hindi	
agar #notebandi ke time political party bhi #rti ke daayre me aa jati to #sukmaattack #kashmir me patthar attack na hote @PMOIndia			Mixed			
#Notebandi se Kuch fyda nahi hua lekin yeh baat public tak nahi pahuncha sake Root level se kaam nahi hua		Hindi				
"kabhi aap logo na ""Lokpal"" par baat ki? kyo? aakhir modi ji na kya de rakha hai media ko? naxali, aatankwad? #notebandi sa kya mila?"			Hindi			
Inle  bas ki baat nahi hai vishwas dila pana!Ye kewal #Notebandi jaisa disruption hi kar sakte hain jiska result zero hai!					Hindi	
@ArvindKejriwal @DrKumarVishwas @msisodia @ashutosh83B @raghav_chadha Elections se pehle tum logon ne #NoteBandi ka mudda uthaya, janta ne tum logon ki okat tumhe dikha di Ab #EVM ka bhana, jo MCD k Baad khtam			Hindi			
Ye chote phaisale lene se kuch nahi hoga @PMOIndia @narendramodi  Lena hai to strong action lo nahi to chod do.			Hindi			
Naqli note ke liye #NoteBandi ho sakti hai to naqli vote ke liye #EVMBandi kyo nahi.						Hindi
aur #NoteBandi Naxal, Aatankwad aur paththarwazon ki kamar tod degi. desh ki sari problm khatm ho chuki hn -PM modi jai hind	Hindi					
#notebandi ke baad bhi aam janta ke #bankaccount me 15 laakh rs nahi aaye @PMOIndia akele sabka paisa kaise ghot sakte hain @sambitswaraj		Hindi				
Suna hai #Notebandi se atankiyo ki #Nasbandi karni thi Kaka Contraceptive lekar gae the par Viagra gift kar ke aa gae #NoteBandi						Hindi
Fake currency, aatankvad, corruption San khatam honai wala tha #notebandi sa?  Kyo n hua? Sawal puchna ki himmat hai sir?			Hindi			
@TimesNow imagine the mentality.. #notebandi aur #nasbandi mein fark hi pata aur inhe PM ban na hai. #GathbandhanWithGhotala					Both	
#NoteBandi hui fail bhakto bajao taali ab kaho sanghi modi is great mera desh badal raha hai aur aache din aa gaye	Hindi					
@ArvindKejriwal Modi Ji k 3 maar me pehli maar #Notebandi to aap ko barbad kiya Lekin sab Vyaapari 3 maar se khush hai Iss liye to Log BJP ko har chunav me Jita rahe	Hindi					
SirJi,FDI to Single brand me approve hai, Multibrand me nahi Logo ko gumraah karne k liye sharm nahi pic.twitter.com/ftn39hM4VP					Hindi	
#AadhaarCard banane lambi line mein khade hue log kya itni aasaani se #notebandi aur #GST ki taqleefein bhool gaye? Kya hum bina koi virodh kiye phir mushkilon mein dhakele ja rahe hain?pic.twitter.com/wNCag3gecG		Hindi				
@narendramodi jab aapne #notebandi ki janta ne aapka dukh sehte hue bhi pura saath diya. Bas usi tarah is #reservation ke kide ko bhi sanvidhan se nikal dijiye.pura desh samarthan dega. Reservation nahi Give economic support to EBC's which shouldn't be caste based.		Both				
#notebandi ke bad sahab kaha gaye the parliament mein attendance kioo nahi diye the jo aaj PAPA ke PAPPI bhonk rahe hai twitter per			Hindi			
#Gst lagu kar k vedesh bhagega uske bad waha s kutte ki trh bhokega #bhaiyao#behano acche din aagaye hai..			Hindi			
Jaise #NoteBandi se Pura desh ko Faida hua Hai aise #GSTBill bi hogi  Kal pura furniture shop wale strike kiye the chandigarh mein	Hindi					
Isme koi doubt nahi ki #noteBandi abhitak ka sabse bada #ArthikGhotala hai jo maine aj se 4-5 mahine pahle hi kaha tha. #GafeeboKiKamarTodDihttps://twitter.com/ravita4ever/status/875616958665768961 …		Hindi				
kaha to gaya tha ki #notebandi se interest rate badhega per yaha to ulta hi ho reha hai. https://twitter.com/abpnewshindi/status/847715242234609664 …						Hindi
